speed=20.0
extinguishingtime=30
firespreadchance=0.0115
modus0=DumbFireFighter
modus1=ContractFireFighter
lineofsight=variable
modus,numFireFighters,numFires,seed,amountOfTicks
0,1,1,0,unsuccessful
1,1,1,0,unsuccessful
2,1,1,0,unsuccessful
0,1,2,0,unsuccessful
1,1,2,0,unsuccessful
2,1,2,0,unsuccessful
0,1,3,0,unsuccessful
1,1,3,0,unsuccessful
2,1,3,0,unsuccessful
0,1,4,0,unsuccessful
1,1,4,0,unsuccessful
2,1,4,0,unsuccessful
0,1,5,0,unsuccessful
1,1,5,0,unsuccessful
2,1,5,0,unsuccessful
0,2,1,0,319
1,2,1,0,399
2,2,1,0,unsuccessful
0,2,2,0,unsuccessful
1,2,2,0,unsuccessful
2,2,2,0,unsuccessful
0,2,3,0,unsuccessful
1,2,3,0,unsuccessful
2,2,3,0,unsuccessful
0,2,4,0,unsuccessful
1,2,4,0,unsuccessful
2,2,4,0,unsuccessful
0,2,5,0,unsuccessful
1,2,5,0,unsuccessful
2,2,5,0,unsuccessful
0,3,1,0,319
1,3,1,0,693
2,3,1,0,unsuccessful
0,3,2,0,unsuccessful
1,3,2,0,unsuccessful
2,3,2,0,unsuccessful
0,3,3,0,unsuccessful
1,3,3,0,unsuccessful
2,3,3,0,unsuccessful
0,3,4,0,unsuccessful
1,3,4,0,unsuccessful
2,3,4,0,unsuccessful
0,3,5,0,unsuccessful
1,3,5,0,unsuccessful
2,3,5,0,unsuccessful
0,4,1,0,441
1,4,1,0,unsuccessful
2,4,1,0,unsuccessful
0,4,2,0,unsuccessful
1,4,2,0,unsuccessful
2,4,2,0,unsuccessful
0,4,3,0,unsuccessful
1,4,3,0,unsuccessful
2,4,3,0,unsuccessful
0,4,4,0,unsuccessful
1,4,4,0,unsuccessful
2,4,4,0,unsuccessful
0,4,5,0,unsuccessful
1,4,5,0,unsuccessful
2,4,5,0,unsuccessful
0,5,1,0,458
1,5,1,0,4346
2,5,1,0,unsuccessful
0,5,2,0,unsuccessful
1,5,2,0,unsuccessful
2,5,2,0,unsuccessful
0,5,3,0,unsuccessful
1,5,3,0,unsuccessful
2,5,3,0,unsuccessful
0,5,4,0,unsuccessful
1,5,4,0,unsuccessful
2,5,4,0,unsuccessful
0,5,5,0,unsuccessful
1,5,5,0,unsuccessful
2,5,5,0,unsuccessful
0,1,1,1,unsuccessful
1,1,1,1,unsuccessful
2,1,1,1,unsuccessful
0,1,2,1,unsuccessful
