speed=20.0
extinguishingtime=30
firespreadchance=0.0115
modus0=DumbFireFighter
modus1=ContractFireFighter
lineofsight=variable
modus,numFireFighters,numFires,seed,losSight,losComm,amountOfTicks
0,50,2,2,10,10,380
1,50,2,2,10,10,282
2,50,2,2,10,10,608
0,50,2,2,9,9,380
1,50,2,2,9,9,283
2,50,2,2,9,9,684
0,50,2,2,8,8,380
1,50,2,2,8,8,283
2,50,2,2,8,8,672
0,50,2,2,7,7,380
1,50,2,2,7,7,284
2,50,2,2,7,7,730
0,50,2,2,6,6,380
1,50,2,2,6,6,285
2,50,2,2,6,6,964
0,50,2,2,5,5,380
1,50,2,2,5,5,286
2,50,2,2,5,5,1016
0,50,2,2,4,4,271
1,50,2,2,4,4,288
2,50,2,2,4,4,686
0,50,2,2,3,3,272
1,50,2,2,3,3,776
2,50,2,2,3,3,978
0,50,2,2,2,2,272
1,50,2,2,2,2,740
2,50,2,2,2,2,7536
